Date,Close
2019-01-02,450.0000
2019-01-03,454.6284
2019-01-04,450.8772
2019-01-07,441.2090
2019-01-08,435.3282
2019-01-09,436.3326
2019-01-10,443.2428
2019-01-11,431.4068
2019-01-14,424.7150
2019-01-15,426.8497
2019-01-16,427.3566
2019-01-17,423.0419
2019-01-18,432.5210
2019-01-21,434.2866
2019-01-22,431.8419
2019-01-23,437.9883
2019-01-24,434.7104
2019-01-25,447.9220
2019-01-28,445.2953
2019-01-29,458.6552
2019-01-30,467.7326
2019-01-31,464.3274
2019-02-01,464.8889
2019-02-04,462.6673
2019-02-05,463.2670
2019-02-06,463.3063
2019-02-07,455.9063
2019-02-08,459.2923
2019-02-11,462.1067
2019-02-12,451.8921
2019-02-13,451.5615
2019-02-14,451.2146
2019-02-15,454.0654
2019-02-18,452.7925
2019-02-19,454.6483
2019-02-20,448.6427
2019-02-21,459.0043
2019-02-22,461.1461
2019-02-25,465.9097
2019-02-26,466.5968
2019-02-27,462.6567
2019-02-28,466.1730
2019-03-01,469.3003
2019-03-04,462.0473
2019-03-05,456.1261
2019-03-06,455.2555
2019-03-07,453.4127
2019-03-08,452.8849
2019-03-11,455.8398
2019-03-12,450.7027
2019-03-13,448.7353
2019-03-14,448.8832
2019-03-15,441.4682
2019-03-18,438.5056
2019-03-19,436.8675
2019-03-20,434.9381
2019-03-21,434.4734
2019-03-22,443.6603
2019-03-25,450.5430
2019-03-26,450.7538
2019-03-27,451.0781
2019-03-28,450.3694
2019-03-29,446.8090
2019-04-01,444.5191
2019-04-02,451.8413
2019-04-03,453.1160
2019-04-04,452.7371
2019-04-05,451.8999
2019-04-08,450.7258
2019-04-09,451.6878
2019-04-10,446.2775
2019-04-11,451.3621
2019-04-12,454.4675
2019-04-15,452.6953
2019-04-16,450.2140
2019-04-17,442.8866
2019-04-18,449.8443
2019-04-19,453.9606
2019-04-22,445.5116
2019-04-23,436.7881
2019-04-24,438.4874
2019-04-25,441.9132
2019-04-26,446.5746
2019-04-29,445.4989
2019-04-30,448.4510
2019-05-01,450.4025
2019-05-02,450.9846
2019-05-03,456.7553
2019-05-06,455.9725
2019-05-07,452.4219
2019-05-08,460.3732
2019-05-09,458.4618
2019-05-10,446.1552
2019-05-13,447.9387
2019-05-14,446.9810
2019-05-15,447.1672
2019-05-16,453.0666
2019-05-17,450.5626
2019-05-20,457.7100
2019-05-21,458.5007
2019-05-22,471.5127
2019-05-23,465.5135
2019-05-24,477.0463
2019-05-27,485.3569
2019-05-28,481.2897
2019-05-29,481.0877
2019-05-30,483.3052
2019-05-31,497.8297
2019-06-03,497.4400
2019-06-04,495.2516
2019-06-05,495.4977
2019-06-06,495.9913
2019-06-07,490.7564
2019-06-10,474.6800
2019-06-11,481.4949
2019-06-12,492.2796
2019-06-13,486.2815
2019-06-14,494.6468
2019-06-17,498.9974
2019-06-18,491.0224
2019-06-19,484.9441
2019-06-20,499.0937
2019-06-21,500.6342
2019-06-24,500.9032
2019-06-25,501.3050
2019-06-26,495.5728
2019-06-27,486.9539
2019-06-28,486.5031
2019-07-01,483.9465
2019-07-02,485.0344
2019-07-03,493.0514
2019-07-04,484.9269
2019-07-05,478.7028
2019-07-08,487.9093
2019-07-09,488.8455
